cnty_fips,display_name,,Urban-Rural Status,,,,,,
22031,"""De Soto, (LA)""",,Small City,,,,,,
48001,"""Anderson, (TX)""",,Rural,,,,,,
48005,"""Angelina, (TX)""",,Rural,,,,,,
48007,"""Aransas, (TX)""",,Small City,,,,,,
48013,"""Atascosa, (TX)""",,Suburban,,,,,,
48015,"""Austin, (TX)""",,Suburban,,,,,,
48019,"""Bandera, (TX)""",,Suburban,,,,,,
48021,"""Bastrop, (TX)""",,Suburban,,,,,,
48025,"""Bee, (TX)""",,Rural,,,,,,
48027,"""Bell, (TX)""",,Small City,,,,,,
48029,"""Bexar, (TX)""",,Urban,,,,,,
48031,"""Blanco, (TX)""",,Rural,,,,,,
48035,"""Bosque, (TX)""",,Rural,,,,,,
48039,"""Brazoria, (TX)""",,Suburban,,,,,,
48041,"""Brazos, (TX)""",,Small City,,,,,,
48043,"""Brewster, (TX)""",,Rural,,,,,,
48047,"""Brooks, (TX)""",,Rural,,,,,,
48049,"""Brown, (TX)""",,Rural,,,,,,
48051,"""Burleson, (TX)""",,Small City,,,,,,
48053,"""Burnet, (TX)""",,Rural,,,,,,
48055,"""Caldwell, (TX)""",,Suburban,,,,,,
48057,"""Calhoun, (TX)""",,Rural,,,,,,
48061,"""Cameron, (TX)""",,Small City,,,,,,
48071,"""Chambers, (TX)""",,Suburban,,,,,,
48073,"""Cherokee, (TX)""",,Rural,,,,,,
48081,"""Coke, (TX)""",,Rural,,,,,,
48083,"""Coleman, (TX)""",,Rural,,,,,,
48089,"""Colorado, (TX)""",,Rural,,,,,,
48091,"""Comal, (TX)""",,Suburban,,,,,,
48093,"""Comanche, (TX)""",,Rural,,,,,,
48095,"""Concho, (TX)""",,Rural,,,,,,
48099,"""Coryell, (TX)""",,Small City,,,,,,
48103,"""Crane, (TX)""",,Rural,,,,,,
48105,"""Crockett, (TX)""",,Rural,,,,,,
48109,"""Culberson, (TX)""",,Rural,,,,,,
48123,"""DeWitt, (TX)""",,Rural,,,,,,
48127,"""Dimmit, (TX)""",,Rural,,,,,,
48131,"""Duval, (TX)""",,Rural,,,,,,
48135,"""Ector, (TX)""",,Small City,,,,,,
48137,"""Edwards, (TX)""",,Rural,,,,,,
48141,"""El Paso, (TX)""",,Small City,,,,,,
48145,"""Falls, (TX)""",,Small City,,,,,,
48149,"""Fayette, (TX)""",,Rural,,,,,,
48157,"""Fort Bend, (TX)""",,Suburban,,,,,,
48161,"""Freestone, (TX)""",,Rural,,,,,,
48163,"""Frio, (TX)""",,Rural,,,,,,
48167,"""Galveston, (TX)""",,Suburban,,,,,,
48171,"""Gillespie, (TX)""",,Rural,,,,,,
48173,"""Glasscock, (TX)""",,Rural,,,,,,
48175,"""Goliad, (TX)""",,Small City,,,,,,
48177,"""Gonzales, (TX)""",,Rural,,,,,,
48185,"""Grimes, (TX)""",,Rural,,,,,,
48187,"""Guadalupe, (TX)""",,Suburban,,,,,,
48193,"""Hamilton, (TX)""",,Rural,,,,,,
48199,"""Hardin, (TX)""",,Small City,,,,,,
48201,"""Harris, (TX)""",,Urban,,,,,,
48209,"""Hays, (TX)""",,Suburban,,,,,,
48215,"""Hidalgo, (TX)""",,Small City,,,,,,
48217,"""Hill, (TX)""",,Rural,,,,,,
48225,"""Houston, (TX)""",,Rural,,,,,,
48229,"""Hudspeth, (TX)""",,Small City,,,,,,
48235,"""Irion, (TX)""",,Small City,,,,,,
